teamName,privateScore,privateRank,publicScore,publicRank,rankDiff,attempts
Tony271YnoT,0.13959,1,0.12914,37,36,31
Farukcan Saglam,0.11682,2,0.16335,1,-1,10
WangCai,0.11663,3,0.11864,84,81,23
Chirag Mc,0.11474,4,0.10703,140,136,11
MLFINANCE,0.11116,5,0.12806,40,35,30
KIT,0.10999,6,0.14592,16,10,8
allforfirefly,0.10993,7,0.10513,168,161,35
Bearspaw bros,0.10914,8,0.11310,106,98,17
Hitha arun,0.10824,9,0.11233,110,101,10
Tifyy,0.10706,10,0.14030,28,18,24
Thian Liang,0.10664,11,0.10653,144,133,66
reboot is all you need,0.10630,12,0.09397,259,247,30
NO HACK NO LEAK,0.10575,13,0.12543,51,38,30
Jack Puccini,0.10527,14,0.06402,527,513,2
karam,0.10474,15,0.11310,107,92,5
for ulas!,0.10439,16,0.11321,104,88,101
[Deleted] 3fdddb09-dd10-454d-8e42-8937be34bf93,0.10402,17,0.11311,105,88,77
Tan_T64,0.10370,18,0.10406,181,163,1
Rafał Pawłowski,0.10284,19,0.16228,2,-17,53
[Deleted] 58ba7789-b89f-473c-9414-77c9ddb15ff8,0.10269,20,0.11969,82,62,11
NN,0.10239,21,0.16212,3,-18,38
Sephiria,0.10125,22,0.14758,15,-7,17
DanteTheAbstract,0.10105,23,0.09862,223,200,1
BOOBA,0.10042,24,0.11978,81,57,8
B10702052,0.10037,25,0.09580,249,224,27
ACoder,0.09982,26,0.12778,43,17,122
Squat,0.09962,27,0.14801,13,-14,2
HL An,0.09917,28,0.09112,276,248,1
none null none,0.09836,29,0.11034,125,96,22
GUOHAOYANG,0.09824,30,0.12563,50,20,30
judian680,0.09722,31,0.11168,113,82,18
cpchen8888,0.09663,32,0.08140,364,332,1
paperxd,0.09629,33,0.15852,4,-29,73
DRW GO GO GO!,0.09580,34,0.12961,36,2,38
Loop 4ever,0.09533,35,0.12878,38,3,16
nycquant,0.09514,36,0.12819,39,3,18
Muhammad,0.09491,37,0.07210,452,415,54
NB,0.09484,38,0.12788,41,3,35
Tanghulu,0.09484,39,0.12788,42,3,5
KYP,0.09454,40,0.07329,437,397,9
kKevink,0.09404,41,0.10493,171,130,16
D4nilZ,0.09402,42,0.08566,324,282,6
Voooolt,0.09385,43,0.10229,196,153,57
ABCXYZ,0.09381,44,0.12652,46,2,36
Alex Zhongs,0.09367,45,0.12402,61,16,49
Zeta1n,0.09356,46,0.12676,44,-2,77
ZSTJY,0.09325,47,0.12648,47,0,53
Ioannis Pantidis,0.09322,48,0.12220,68,20,15
Sergey,0.09291,49,0.08720,306,257,9
Blend all publics,0.09281,50,0.12606,49,-1,49
Crypto Machine,0.09262,51,0.12632,48,-3,29
Aaditya Meghrajani,0.09245,52,0.05754,590,538,24
SHyeon99,0.09245,53,0.08546,327,274,18
Vlad_Training,0.09237,54,0.04795,684,630,4
ResCV,0.09217,55,0.12536,52,-3,71
Ultraman,0.09207,56,0.08065,370,314,4
thirdxiaohao！,0.09195,57,0.10526,165,108,30
Mingjun Wu,0.09195,58,0.12503,55,-3,26
random preds,0.09179,59,0.12507,53,-6,48
MJ Kim,0.09176,60,0.12506,54,-6,59
smilepto,0.09170,61,0.12491,56,-5,75
