teamName,publicScore,publicRank,privateScore,privateRank,rankDiff,attempts
Farukcan Saglam,0.16335,1,0.11682,2,-1,10
Rafał Pawłowski,0.16228,2,0.10284,19,-17,53
NN,0.16212,3,0.10239,21,-18,38
paperxd,0.15852,4,0.09629,33,-29,73
[Deleted] 62527694-e1b4-410c-b7d2-2013eb32e9e4,0.15201,5,0.07588,177,-172,19
[Deleted] 8b9e007c-bf0a-46e4-85f5-2047afe10515,0.15189,6,0.08013,142,-136,69
Clean submission,0.15189,7,0.07024,243,-236,66
ganipesu,0.15165,8,0.02787,809,-801,33
Martin0421,0.15154,9,0.06011,422,-413,39
[Deleted] b56b0d61-2df5-486d-9498-cf588a35faad,0.15066,10,0.06674,298,-288,43
[Deleted] 77823102-44d5-4fb3-bc83-e44f69d000b4,0.15039,11,0.05336,528,-517,9
Peggys11,0.15026,12,0.05964,432,-420,68
Squat,0.14801,13,0.09962,27,-14,2
[Deleted] 9e84c012-596c-41dd-b7b0-83d87a9762b0,0.14758,14,0.07495,189,-175,20
Sephiria,0.14758,15,0.10125,22,-7,17
KIT,0.14592,16,0.10999,6,10,8
[Deleted] 9842d976-b12e-4304-9f4b-167cb8a8bef3,0.14511,17,0.05964,431,-414,73
[Deleted] 842176c8-a0b9-45bc-8536-958c1075909e,0.14504,18,0.06947,253,-235,74
[Deleted] 88fb3dae-4e39-4e56-a966-cb6727139c2d,0.14349,19,0.06860,266,-247,4
[Deleted] 919e4bd6-28ec-458a-a5df-0898ff4d6d3a,0.14343,20,0.06915,257,-237,4
[Deleted] 9d6c0505-0447-40e7-9ea1-94da80bab867,0.14340,21,0.06931,256,-235,67
[Deleted] 7c9985c3-9f02-41c5-9343-bcf717634534,0.14317,22,0.06643,302,-280,62
[Deleted] f178ee42-e0ff-412c-ad38-507c6e95efec,0.14269,23,0.07055,238,-215,9
Monicachen721,0.14187,24,0.08354,121,-97,32
[Deleted] eecdd588-2436-4b40-b1ec-3e1a73ef2334,0.14105,25,0.06863,263,-238,51
[Deleted] 3a795ff4-b8eb-4acf-a45d-3368b8d835bb,0.14083,26,0.07166,224,-198,13
Hebedoglover,0.14075,27,0.06622,307,-280,44
Tifyy,0.14030,28,0.10706,10,18,24
[Deleted] 781a8409-0971-4f38-855c-7ff922fd87b9,0.13986,29,0.05779,462,-433,64
[Deleted] de0ec741-c11f-4dcc-9b2b-e71f4a4bfa50,0.13853,30,0.07484,191,-161,9
abdonson,0.13808,31,0.04186,689,-658,62
[Deleted] 5ceda42d-576c-4f59-a073-1bdb6c3d6294,0.13798,32,0.06592,315,-283,5
my submissions are clean,0.13299,33,0.06601,313,-280,4
Math Island,0.13277,34,0.07325,203,-169,77
randomtile,0.13240,35,0.08971,80,-45,71
DRW GO GO GO!,0.12961,36,0.09580,34,2,38
Tony271YnoT,0.12914,37,0.13959,1,36,31
Loop 4ever,0.12878,38,0.09533,35,3,16
nycquant,0.12819,39,0.09514,36,3,18
MLFINANCE,0.12806,40,0.11116,5,35,30
NB,0.12788,41,0.09484,38,3,35
Tanghulu,0.12788,42,0.09484,39,3,5
ACoder,0.12778,43,0.09982,26,17,122
Zeta1n,0.12676,44,0.09356,46,-2,77
Sedat GOLGİYAZ,0.12665,45,0.08925,84,-39,51
ABCXYZ,0.12652,46,0.09381,44,2,36
ZSTJY,0.12648,47,0.09325,47,0,53
Crypto Machine,0.12632,48,0.09262,51,-3,29
Blend all publics,0.12606,49,0.09281,50,-1,49
GUOHAOYANG,0.12563,50,0.09824,30,20,30
NO HACK NO LEAK,0.12543,51,0.10575,13,38,30
ResCV,0.12536,52,0.09217,55,-3,71
random preds,0.12507,53,0.09179,59,-6,48
MJ Kim,0.12506,54,0.09176,60,-6,59
Mingjun Wu,0.12503,55,0.09195,58,-3,26
smilepto,0.12491,56,0.09170,61,-5,75
Teslearn,0.12488,57,0.09164,62,-5,58
Just overfit it!,0.12468,58,0.09154,64,-6,32
Meme,0.12426,59,0.09118,67,-8,41
cat_robot_22,0.12407,60,0.09122,66,-6,30
Alex Zhongs,0.12402,61,0.09367,45,16,49
Sarah Jeffreson,0.12350,62,0.08359,118,-56,46
Adamsun95,0.12319,63,0.09061,72,-9,56
KHN Long,0.12314,64,0.09021,74,-10,59
Centmils,0.12297,65,0.08997,76,-11,32
Rocks,0.12258,66,0.08967,81,-15,44
Fin_AI,0.12242,67,0.08528,107,-40,55
Ioannis Pantidis,0.12220,68,0.09322,48,20,15
CryptoMiners,0.12210,69,0.08992,77,-8,22
ricecooker,0.12210,70,0.07524,186,-116,31
Mr Unix Server,0.12210,71,0.07562,182,-111,64
xsc1025,0.12168,72,0.04689,627,-555,69
HaoyuSun9983,0.12159,73,0.08873,89,-16,50
Vasu Verma,0.12151,74,0.05698,477,-403,66
Apex,0.12124,75,0.08857,90,-15,12
Team Name,0.12073,76,0.08804,92,-16,65
Xiaojian Gao,0.12062,77,0.07423,195,-118,33
DRW-CRYPTO,0.12026,78,0.08845,91,-13,54
Feature Master,0.12017,79,0.07293,206,-127,48
Two Brothers,0.12001,80,0.05888,445,-365,49
BOOBA,0.11978,81,0.10042,24,57,8
[Deleted] 58ba7789-b89f-473c-9414-77c9ddb15ff8,0.11969,82,0.10269,20,62,11
Rowan,0.11949,83,0.08768,95,-12,9
WangCai,0.11864,84,0.11663,3,81,23
没主人的公狗,0.11744,85,0.09081,70,15,32
Hari Rama karthikeyan,0.11658,86,0.04505,647,-561,1
[Deleted] 5a4459aa-1140-4da9-8c87-ac7c359c4349,0.11584,87,0.08193,133,-46,18
Nguyen,0.11558,88,0.06642,303,-215,5
[Deleted] 391c89ea-a7b0-4d60-a146-6d3f2bbfbf13,0.11556,89,0.07194,219,-130,15
哈基米 and 米基哈,0.11556,90,0.07173,223,-133,4
[Deleted] 73ecdf48-3d03-4637-8ec5-0521f8950399,0.11525,91,0.07194,218,-127,1
jdcl945,0.11518,92,0.06192,371,-279,74
Linstyle,0.11504,93,0.07903,153,-60,42
JWLINi,0.11503,94,0.08007,144,-50,39
G.O.D is REAL,0.11482,95,0.08463,114,-19,38
Mike Dean,0.11467,96,0.06588,316,-220,10
Shaozhe Hao,0.11467,97,0.06588,317,-220,35
Strange Paul,0.11457,98,0.05473,504,-406,22
Guolun Li,0.11444,99,0.05158,560,-461,4
Croasset,0.11408,100,0.05652,483,-383,16
我不是奶龙,0.11373,101,0.05960,433,-332,10
Istri Baik,0.11369,102,0.07084,235,-133,21
SunSky-He,0.11341,103,0.06724,291,-188,15
for ulas!,0.11321,104,0.10439,16,88,101
[Deleted] 3fdddb09-dd10-454d-8e42-8937be34bf93,0.11311,105,0.10402,17,88,77
Bearspaw bros,0.11310,106,0.10914,8,98,17
karam,0.11310,107,0.10474,15,92,5
Data Team,0.11306,108,0.06434,340,-232,28
Jackson Fenner,0.11252,109,0.08483,111,-2,54
Hitha arun,0.11233,110,0.10824,9,101,10
mohsen2050,0.11233,111,0.07366,199,-88,80
isinsu,0.11195,112,0.05478,503,-391,43
judian680,0.11168,113,0.09722,31,82,18
Meet Babariya,0.11128,114,0.06248,358,-244,14
CatCapital,0.11122,115,0.05838,452,-337,27
[Deleted] e45aed0c-ad99-428f-9b46-89ba84409351,0.11118,116,0.06510,330,-214,59
OxZhang,0.11108,117,0.05074,572,-455,14
NicoleLF,0.11101,118,0.06457,336,-218,35
[Deleted] e4009c11-7177-4716-91d4-51251ccfc879,0.11096,119,0.04739,616,-497,2
GraceLfd,0.11084,120,0.05518,494,-374,14
aha_Yann Zhenxuan,0.11063,121,0.05826,454,-333,27
zxcDDD,0.11062,122,0.05349,526,-404,2
Unicorn,0.11056,123,0.06218,364,-241,20
DeusNeo ,0.11044,124,0.08241,128,-4,62
none null none,0.11034,125,0.09836,29,96,22
Yesss!,0.10974,126,0.05718,474,-348,16
QinglongLi,0.10952,127,0.06622,306,-179,3
TwoYOneS,0.10917,128,0.06085,409,-281,11
redpanda0304,0.10878,129,0.05445,508,-379,10
last_la_yaru_winner,0.10866,130,0.06860,264,-134,20
[Deleted] 80e23d45-1cec-42e6-a9c0-45157de56fcc,0.10866,131,0.06860,265,-134,7
TO,0.10835,132,0.06107,404,-272,11
Cathy,0.10811,133,0.05749,468,-335,8
jone jone,0.10786,134,0.05315,533,-399,25
Dr. T,0.10747,135,0.07164,225,-90,8
Ubayd & Marcus,0.10744,136,0.07783,163,-27,34
Ahmed Osman,0.10738,137,0.06400,342,-205,64
Bernat Cots Sesmilo,0.10726,138,0.06963,250,-112,22
灵感古力古力哇擦,0.10711,139,0.06804,277,-138,15
Chirag Mc,0.10703,140,0.11474,4,136,11
Jack,0.10690,141,0.06822,274,-133,29
Li JUN YAN RE,0.10675,142,0.08531,106,36,20
[Deleted] a525f7d5-ec5a-4645-aef6-df491968c3f7,0.10654,143,0.06668,300,-157,7
Thian Liang,0.10653,144,0.10664,11,133,66
Hare & Koala,0.10631,145,0.07498,188,-43,16
